Id,Date,Start (ET),Visitor,VisitorPTS,Home,HomePTS,OT,Attendance
0,10/16/2018,8:00p,PHI,87,BOS,105,0,18624
1,10/16/2018,10:30p,OKC,100,GSW,108,0,19596
2,10/17/2018,7:00p,MIL,113,CHA,112,0,17889
3,10/17/2018,7:00p,BKN,100,DET,103,0,20332
4,10/17/2018,7:00p,MEM,83,IND,111,0,17923
5,10/17/2018,7:00p,MIA,101,ORL,104,0,19191
6,10/17/2018,7:30p,ATL,107,NYK,126,0,18249
7,10/17/2018,7:30p,CLE,104,TOR,116,0,19915
8,10/17/2018,8:00p,NOP,131,HOU,112,0,18055
9,10/17/2018,8:30p,MIN,108,SAS,112,0,18354
10,10/17/2018,10:00p,UTA,123,SAC,117,0,17583
11,10/17/2018,10:30p,DEN,107,LAC,98,0,19068
12,10/17/2018,10:30p,DAL,100,PHX,121,0,18055
13,10/18/2018,8:00p,CHI,108,PHI,127,0,20302
14,10/18/2018,8:00p,MIA,113,WAS,112,0,20409
15,10/18/2018,10:30p,LAL,119,POR,128,0,19996
16,10/19/2018,7:00p,CHA,120,ORL,88,0,17668
17,10/19/2018,7:30p,NYK,105,BKN,107,0,17732
18,10/19/2018,8:00p,ATL,117,MEM,131,0,17019
19,10/19/2018,8:00p,CLE,123,MIN,131,0,18978
20,10/19/2018,8:00p,SAC,129,NOP,149,0,18337
21,10/19/2018,8:00p,BOS,101,TOR,113,0,19800
22,10/19/2018,8:30p,IND,101,MIL,118,0,17341
23,10/19/2018,10:30p,OKC,92,LAC,108,0,14816
24,10/19/2018,10:30p,GSW,124,UTA,123,0,18306
25,10/20/2018,7:00p,BKN,112,IND,132,0,17007
26,10/20/2018,7:00p,TOR,117,WAS,113,0,16185
27,10/20/2018,7:30p,BOS,103,NYK,101,0,19427
28,10/20/2018,7:30p,ORL,115,PHI,116,0,20300
29,10/20/2018,8:00p,DET,118,CHI,116,0,21289
30,10/20/2018,8:00p,CHA,113,MIA,112,0,19600
31,10/20/2018,8:30p,MIN,136,DAL,140,0,20205
32,10/20/2018,9:00p,PHX,91,DEN,119,0,19592
33,10/20/2018,10:00p,SAS,108,POR,121,0,19461
34,10/20/2018,10:30p,HOU,124,LAL,115,0,18997
35,10/21/2018,6:00p,ATL,133,CLE,111,0,19432
36,10/21/2018,7:00p,SAC,131,OKC,120,0,18203
37,10/21/2018,8:00p,GSW,98,DEN,100,0,19520
38,10/21/2018,9:00p,HOU,112,LAC,115,0,16149
39,10/22/2018,7:30p,ORL,93,BOS,90,0,18624
40,10/22/2018,7:30p,CHA,106,TOR,127,0,19800
41,10/22/2018,8:00p,NYK,113,MIL,124,0,16228
42,10/22/2018,8:00p,IND,91,MIN,101,0,10371
43,10/22/2018,8:30p,CHI,109,DAL,115,0,19291
44,10/22/2018,9:00p,MEM,92,UTA,84,0,18306
45,10/22/2018,10:00p,WAS,125,POR,124,1,19187
46,10/22/2018,10:30p,PHX,103,GSW,123,0,19596
47,10/22/2018,10:30p,SAS,143,LAL,142,1,18997
48,10/23/2018,7:00p,PHI,132,DET,133,1,14418
49,10/23/2018,8:00p,LAC,109,NOP,116,0,14625
50,10/23/2018,9:00p,SAC,112,DEN,126,0,13214
51,10/24/2018,7:00p,DAL,104,ATL,111,0,16705
52,10/24/2018,7:00p,BKN,102,CLE,86,0,19432
53,10/24/2018,7:30p,NYK,87,MIA,110,0,19600
54,10/24/2018,7:30p,MIN,105,TOR,112,0,19800
55,10/24/2018,8:00p,CHA,110,CHI,112,0,19170
56,10/24/2018,8:00p,UTA,100,HOU,89,0,18055
57,10/24/2018,8:30p,IND,116,SAS,96,0,18354
58,10/24/2018,9:30p,PHI,108,MIL,123,0,17341
59,10/24/2018,10:00p,LAL,131,PHX,113,0,18055
60,10/24/2018,10:00p,MEM,92,SAC,97,0,14198
61,10/24/2018,10:30p,WAS,122,GSW,144,0,19596
62,10/25/2018,7:00p,CLE,103,DET,110,0,15896
63,10/25/2018,7:00p,POR,128,ORL,114,0,15114
64,10/25/2018,8:00p,BOS,101,OKC,95,0,18203
65,10/25/2018,10:30p,DEN,114,LAL,121,0,18997
66,10/26/2018,7:00p,CHI,106,CHA,135,0,15220
67,10/26/2018,7:30p,GSW,128,NYK,100,0,19812
68,10/26/2018,7:30p,DAL,107,TOR,116,0,19800
69,10/26/2018,8:00p,LAC,133,HOU,113,0,18055
70,10/26/2018,8:00p,MIL,125,MIN,95,0,16334
71,10/26/2018,8:00p,BKN,115,NOP,117,0,15272
72,10/26/2018,10:00p,WAS,112,SAC,116,0,14101
73,10/27/2018,7:00p,BOS,109,DET,89,0,18120
74,10/27/2018,7:00p,UTA,132,NOP,111,0,16373
75,10/27/2018,7:30p,CHI,97,ATL,85,0,15549
76,10/27/2018,7:30p,IND,119,CLE,107,0,19432
77,10/27/2018,7:30p,CHA,103,PHI,105,0,20203
78,10/27/2018,8:00p,PHX,96,MEM,117,0,15926
79,10/27/2018,8:00p,POR,111,MIA,120,0,19600
80,10/27/2018,8:30p,ORL,91,MIL,113,0,17341
81,10/27/2018,8:30p,LAL,106,SAS,110,0,18589
82,10/28/2018,5:00p,GSW,120,BKN,114,0,17732
83,10/28/2018,7:00p,UTA,113,DAL,104,0,19571
84,10/28/2018,7:00p,PHX,110,OKC,117,0,18203
85,10/28/2018,9:30p,WAS,104,LAC,136,0,16491
86,10/29/2018,7:00p,POR,103,IND,93,0,15788
87,10/29/2018,7:00p,ATL,92,PHI,113,0,20269
88,10/29/2018,7:30p,SAC,123,MIA,113,0,19600
89,10/29/2018,7:30p,BKN,96,NYK,115,0,19221
90,10/29/2018,8:00p,GSW,149,CHI,124,0,21076
91,10/29/2018,8:00p,TOR,109,MIL,124,0,17341
92,10/29/2018,8:00p,LAL,120,MIN,124,0,18978
93,10/29/2018,8:30p,DAL,108,SAS,113,1,18354
94,10/29/2018,9:00p,NOP,111,DEN,116,0,15217
95,10/30/2018,7:00p,MIA,113,CHA,125,0,14117
96,10/30/2018,7:00p,ATL,114,CLE,136,0,19432
97,10/30/2018,7:00p,SAC,107,ORL,99,0,15074
98,10/30/2018,7:30p,DET,105,BOS,108,0,18624
99,10/30/2018,7:30p,PHI,112,TOR,129,0,19800
100,10/30/2018,8:00p,POR,104,HOU,85,0,18055
101,10/30/2018,8:00p,WAS,95,MEM,107,0,14106
102,10/30/2018,8:00p,LAC,110,OKC,128,0,18203
103,10/31/2018,7:30p,DET,119,BKN,120,1,12862
104,10/31/2018,8:00p,DEN,108,CHI,107,1,19027
105,10/31/2018,8:00p,UTA,125,MIN,128,0,10079
106,10/31/2018,8:00p,IND,107,NYK,101,0,18295
107,10/31/2018,10:30p,NOP,121,GSW,131,0,19596
108,10/31/2018,10:30p,DAL,113,LAL,114,0,18997
109,10/31/2018,10:30p,SAS,120,PHX,90,0,12328
110,11/1/2018,7:00p,OKC,111,CHA,107,0,14583
111,11/1/2018,7:00p,DEN,110,CLE,91,0,19432
112,11/1/2018,7:00p,LAC,113,PHI,122,0,20246
113,11/1/2018,7:30p,SAC,146,ATL,115,0,12095
114,11/1/2018,8:00p,MIL,113,BOS,117,0,18624
115,11/1/2018,10:30p,NOP,119,POR,132,0,18921
116,11/2/2018,7:00p,LAC,120,ORL,95,0,15953
117,11/2/2018,7:30p,HOU,119,BKN,111,0,14013
118,11/2/2018,8:00p,IND,107,CHI,105,0,19704
119,11/2/2018,8:00p,OKC,134,WAS,111,0,20409
120,11/2/2018,8:30p,NYK,118,DAL,106,0,20008
121,11/2/2018,9:00p,MEM,110,UTA,100,0,18306
122,11/2/2018,10:00p,TOR,107,PHX,98,0,15843
123,11/2/2018,10:30p,MIN,99,GSW,116,0,19596
124,11/3/2018,1:00p,DET,99,PHI,109,0,20289
125,11/3/2018,7:00p,CLE,94,CHA,126,0,16221
126,11/3/2018,7:00p,BOS,101,IND,102,0,17505
127,11/3/2018,7:30p,MIA,118,ATL,123,0,16303
128,11/3/2018,8:00p,HOU,96,CHI,88,0,20505
129,11/3/2018,8:30p,NOP,95,SAS,109,0,18354
130,11/3/2018,9:00p,UTA,88,DEN,103,0,19520
131,11/3/2018,10:00p,LAL,114,POR,110,0,19848
132,11/4/2018,3:30p,SAC,109,MIL,144,0,17341
133,11/4/2018,6:00p,PHI,97,BKN,122,0,12826
134,11/4/2018,6:00p,NYK,95,WAS,108,0,16679
135,11/4/2018,7:00p,ORL,117,SAS,110,0,18354
